level,parent,node,description,code,weight
0,,Подбор оптимального туристического маршрута,Главная цель рекомендательной системы,,
1,Подбор оптимального туристического маршрута,Соответствие интересам туриста,Совпадение интересов пользователя с признаками маршрута,interests,0.20
2,Соответствие интересам туриста,Совпадение туристических интересов,Пересечение интересов пользователя и тегов маршрута,,
2,Соответствие интересам туриста,Тематические признаки города,Природа история гастрономия музеи и другие признаки города,,
2,Соответствие интересам туриста,Тип маршрута,Обзорный гастрономический активный культурный семейный или фототур,,
1,Подбор оптимального туристического маршрута,Бюджет поездки,Соответствие цены маршрута максимальному бюджету пользователя,budget,0.16
2,Бюджет поездки,Стоимость маршрута,Расчетная цена маршрута на человека,,
2,Бюджет поездки,Запас относительно бюджета,Разница между бюджетом пользователя и ценой маршрута,,
1,Подбор оптимального туристического маршрута,Желаемое направление,Совпадение города или региона с запросом пользователя,location,0.14
2,Желаемое направление,Совпадение города,Маршрут находится в выбранном городе,,
2,Желаемое направление,Совпадение региона,Маршрут находится в выбранном регионе,,
1,Подбор оптимального туристического маршрута,Сезонность маршрута,Пригодность направления для выбранного сезона,season,0.13
2,Сезонность маршрута,Подходящий сезон,Выбранный сезон входит в список сезонов маршрута,,
2,Сезонность маршрута,Круглогодичность,Маршрут допустим в разные сезоны,,
1,Подбор оптимального туристического маршрута,Длительность поездки,Близость длительности маршрута к желаемому числу дней,duration,0.11
2,Длительность поездки,Совпадение количества дней,Длительность полностью совпадает с запросом,,
2,Длительность поездки,Допустимое отклонение,Маршрут отличается на 1-2 дня но остается приемлемым,,
1,Подбор оптимального туристического маршрута,Уровень активности,Соответствие физической нагрузки предпочтениям пользователя,activity,0.08
2,Уровень активности,Низкая активность,Спокойные прогулки и короткие перемещения,,
2,Уровень активности,Средняя активность,Насыщенная программа без высокой нагрузки,,
2,Уровень активности,Высокая активность,Треккинг спорт или активные перемещения,,
1,Подбор оптимального туристического маршрута,Транспортная доступность,Совпадение или совместимость транспорта,transport,0.06
2,Транспортная доступность,Полное совпадение транспорта,Маршрут использует выбранный транспорт,,
2,Транспортная доступность,Совместимый транспорт,Маршрут использует допустимую альтернативу,,
1,Подбор оптимального туристического маршрута,Климатические предпочтения,Соответствие климата выбранному пользователем типу,climate,0.04
2,Климатические предпочтения,Совпадение климата,Климат маршрута совпадает с запросом,,
2,Климатические предпочтения,Нейтральный выбор,Пользователь не указал климатическое ограничение,,
1,Подбор оптимального туристического маршрута,Доступная среда,Учет доступности маршрута,accessibility,0.04
2,Доступная среда,Уровень доступности,Оценка доступности направления по шкале,,
2,Доступная среда,Обязательное требование,Фильтрация маршрутов при необходимости доступной среды,,
1,Подбор оптимального туристического маршрута,Популярность и инфраструктура,Оценка туристической развитости направления,popularity,0.04
2,Популярность и инфраструктура,Популярность города,Оценка на основе населения и статуса города,,
2,Популярность и инфраструктура,Развитость инфраструктуры,Косвенная оценка удобства маршрута для туристов,,
3,Критерии выбора,Альтернативные маршруты,Конкретные маршруты из базы данных: город плюс тип маршрута,,
